Method,Conflicts,Canopy overlap,Congestion score,Risk score,"Mean route offset, km","Max route offset, km"
Initial Traffic,427,53345.5174789001,624.723076923077,16053.99622281286,0.0,0.0
CANOPY-Soft,217,36309.065470596244,304.89230769230767,7276.739237646712,1.8566864551997806,2.0000000000000058
CANOPY-Strong,120,18697.354633628995,86.16923076923077,2437.390995111877,4.64256801648029,5.000000000000005
Stronger Baseline,98,13042.230907862135,55.0,1444.2415734740307,6.4291247390908755,7.0000000000000036
